;;;;;;
name-playercharacter-kimmy-twolines;;Kimmy;吉米;キミー;키미;
name-playercharacter-nanaslopper;;Nana Slopper;斯洛普奶奶;おばあちゃんスロッパー;나나 슬로퍼;
name-playercharacter-nanaslopper-twolines;;Nana$br$Slopper;$br$斯洛普奶奶;おばあちゃん$br$スロッパー;나나$br$슬로퍼;
name-playercharacter-slopperjackson;;Slopper Jackson;斯洛普·杰克逊;スロッパ・ジャクソン;슬로퍼 잭슨;
name-playercharacter-slopperjackson-twolines;;Slopper$br$Jackson;斯洛普$br$杰克逊;スロッパ・$br$ジャクソン;슬로퍼$br$잭슨;
name-playercharacter-slopperjohnson;;Slopper Johnson;斯洛普·约翰逊;スロッパ・ジョンソン;슬로퍼 존슨;
name-playercharacter-slopperjohnson-twolines;;Slopper$br$Johnson;斯洛普$br$约翰逊;スロッパ・$br$ジョンソン;슬로퍼$br$존슨;
name-skill-beak;;Beak;啄;ビーク;쪼기;
name-skill-claw;;Claw;爪击;爪;할퀴기;
name-skill-croak;;Deafening Croak $mighticon$;尖叫$mighticon$;耳をつんざくような鳴き声 $mighticon$;귀청 떨구기 $mighticon$;
name-skill-damageinheightofpower;;Mighty Zap;沉重打击;強力な電撃;강력 찌릿;
name-skill-encrustmodule;;Resin $crusticon$;树脂覆盖$crusticon$;樹脂 $crusticon$;레진 $crusticon$;
name-skill-enemyspawn-gravpolyp;;Grav. Ecology;引力生态;重力の生態学;중력 생태학;
name-skill-enemyspawn-protozoon;;Divide;分裂;分裂;분할;
name-skill-enemyspawn-slime;;Duplicate;复制;複製;복제;
name-skill-equilibriumdissipation;;Equilibrium;均衡;均衡;평형;
name-skill-gravbite;;Grav. Bite;引力啃咬;重力の噛みつき;중력 깨물기;
name-skill-gravimplode;;Grav. Implosion;引力内爆;重力の崩壊;중력 붕괴;
name-skill-gravimplode-bossshroom;;Total Grav. Implosion;引力内爆总数;重力の崩壊;중력 완전 붕괴;
name-skill-gravimplode-one;;Grav. Implosion 1;引力内爆 1;重力の崩壊 1;중력 붕괴 1;
name-skill-gravimpulse;;Grav. Impulse;引力脉冲;重力の衝撃;중력 충격;
name-skill-gravpull;;Grav. Pull $grav-1$;引力吸引$grav-1$;重力の引き $grav-1$;중력 당기기 $grav-1$;
name-skill-gravpush-1;;Grav. Push $grav+1$;引力排斥$grav+1$;重力の衝撃 $grav+1$;중력 밀기 $grav+1$;
name-skill-gravpush-2;;Grav. Push $grav+2$;引力排斥$grav+2$;重力の衝撃 $grav+2$;중력 밀기 $grav+2$;
name-skill-gravpush-3;;Grav. Push $grav+3$;引力排斥$grav+3$;重力の衝撃 $grav+3$;중력 밀기 $grav+3$;
name-skill-gravspore-positive;;Grav. Spore $grav+1$;引力孢子$grav+1$;重力の孢子 $grav+1$;중력 포자 $grav+1$;
name-skill-gravspore-positive-2;;Grav. Spore $grav+2$;引力孢子$grav+2$;重力の孢子 $grav+2$;중력 포자 $grav+2$;
name-skill-gravspore-positive-bossshroom;;Boss Spores $grav+2$;首领孢子$grav+2$;重力の孢子 $grav+2$;우두머리 포자 $grav+2$;
name-skill-gravspore-positive-bossshroom-tutorial;;Boss Spores $grav+2$;首领孢子$grav+2$;重力の孢子 $grav+2$;우두머리 포자 $grav+2$;
name-skill-gravsting;;Grav. Sting $grav+1$;引力叮咬$grav+1$;重力の刺 $grav+1$;중력 독침 $grav+1$;
name-skill-gravsting-2;;Grav. Sting $grav+2$;引力叮咬$grav+2$;重力の刺 $grav+2$;중력 독침 $grav+2$;
name-skill-gravtransfer;;Grav. Transfer;引力转移;重力の転移;중력 이동;
name-skill-leftclaw;;Left Claw $grav+2$;左钳打击$grav+2$;左爪 $grav+2$;왼쪽 집게발 $grav+2$;
name-skill-lightningstrike;;Lightning Strike $VALUE$;闪电打击$VALUE$;雷撃 $VALUE$;천둥 번개 $VALUE$;
name-skill-modularrackfire;;Voltage;电源;電圧;전압;
name-skill-modulegravrecoil-bosscrocodile;;Brute Force $gravrecoilicon$;蛮力冲撞$gravrecoilicon$;野蛮力 $gravrecoilicon$;무차별 공격 $gravrecoilicon$;
name-skill-modulegravrecoil-slime;;Slime $gravrecoilicon$;黏液$gravrecoilicon$;粘液 $gravrecoilicon$;점액 $gravrecoilicon$;
name-skill-moduleplasmacombustion;;Plasma Combustion;等离子燃烧机;プラズマ爆燃;플라즈마 연소;
name-skill-moduleselfencrusting-aoe;;Crystal Resonance $crusticon$;水晶共振$crusticon$;クリスタル・レゾナンス $crusticon$;크리스탈 공명 $crusticon$;
name-skill-modulespawn-timebomb;;Time Bomb;定时炸弹;タイムボム;시한폭탄;
name-skill-ondeath-gravspill;;Grav. Spill $grav+icon$;引力喷涌$grav+icon$;重力漏れ $grav+icon$;중력 유출 $grav+icon$;
name-skill-ondeath-hurtcrabbody;;Body Part;十指连心;身体部位;몸체;
name-skill-ondeath-vulnerability;;Piercing Shriek;刺耳尖叫;貫通の叫び;꿰뚫는 비명;
name-skill-passive-powerraiseifcrustbroken;;Crust Detection $mighticon$;晶壳侦测$mighticon$;結晶検出 $mighticon$;크러스트 감지 $mighticon$;
name-skill-passive-powerraiseifdamaged;;Trauma Detection $mighticon$;创伤侦测$mighticon$;トラウマ検出 $mighticon$;트라우마 감지 $mighticon$;
name-skill-passive-powerraiseifdamaged-full;;Trauma Detection $mighticon$;创伤侦测$mighticon$;トラウマ検出 $mighticon$;트라우마 감지 $mighticon$;
name-skill-passive-powerraiseifplasmagenerated;;Plasma Detection $mighticon$;等离子侦测$mighticon$;プラズマ検出 $mighticon$;플라즈마 감지 $mighticon$;
name-skill-passive-powerraiseifturnorderchanged;;Chrono Detection $mighticon$;时序侦测$mighticon$;時間検出 $mighticon$;시간 감지 $mighticon$;
name-skill-passive-powerraiseifturnorderchanged-full;;Chrono Detection $mighticon$;时序侦测$mighticon$;時間検出 $mighticon$;시간 감지 $mighticon$;
name-skill-paw;;Paw;爪击;足;후려치기;
name-skill-paw-2;;Paw 2;爪击 2;足 2;후려치기 2;
name-skill-powertodamage;;Zap $mighticon$;沉重打击$mighticon$;ザップ $mighticon$;찌릿 $mighticon$;
name-skill-powertodamage-gravpolyp;;Zap $mighticon$;沉重打击$mighticon$;ザップ $mighticon$;찌릿 $mighticon$;
name-skill-rightclaw;;Right Claw $crusticon$;右钳打击$crusticon$;右爪 $crusticon$;오른쪽 집게발 $crusticon$;
name-skill-shleck-frog;;Shleck;史莱克;舐める;비명;
name-skill-shleck-protozoon;;Membrane;膜击;膜;세포막;
name-skill-stormstrike;;Lightning Strike $VALUE$;闪电打击$VALUE$;雷撃 $VALUE$;천둥 번개 $VALUE$;
name-status-gravamplification;;Grav. Amplification;引力放大;重力増幅;중력 증폭;
name-status-gravimmunity;;Grav. Immunity;引力免疫;重力免疫;중력 면역;
name-status-jackcolormutation;;Color Mutation;颜色变异;色変異;색상 변화;
name-status-moduleboost;;Boost +1;增强 +1;ブースト +1;부스트 +1;
name-status-moduleconstructed;;Constructed;已建造;製造;조립됨;
name-status-modulecooldown;;Cooldown;冷却;クールダウン;대기;
name-status-modulecracked;;Cracked;破损;割れた;손상;
name-status-modulecrust;;Crust;晶壳;結晶;크러스트;
name-status-modulefire;;Fire;开火;火;발화;
name-status-modulegravrecoil;;Grav. Recoil;引力反冲;重力反動;중력 반동;
name-status-modulegravvacuum;;Grav. Vacuum;引力真空;重力真空;중력 공백;
name-status-modulelock;;Locked;已锁定;モジュールロック;고정됨;
name-status-modulelock-startingmodule;;Character Loadout;角色自带;キャラクター装備;캐릭터 소지품;
name-status-modulemalfunctioning;;Malfunctioning;失灵;故障;오작동;
name-status-modulemodificationmutation;;Mutation;变异;突然変異;변화;
name-status-moduleoutoforder;;Out of Order;故障;故障;고장;
name-status-moduleoverload;;Overload;超载;オーバーロード;과부하;
name-status-moduleplasmacombustion;;Plasma Combustion;等离子燃烧机;プラズマ燃焼;플라즈마 연소;
name-status-modulepollution;;Pollution;污染;汚染;오염;
name-status-modulesalvaged;;Salvaged;已保留;回収;회수됨;
name-status-moduleselfencrusting;;Self-Encrusting;自我结晶;自己結晶;자가 크러스트화;
name-status-moduleturbo;;Turbo +1;涡轮增压 +1;ターボ +1;터보 +1;
name-status-moduleunstable;;Unstable;不稳定的;不安定;불안정함;
name-status-moduleupgrade;;Upgrade +1;升级 +1;アップグレード +1;개량 +1;
name-status-shield;;Shield;护盾;シールド;방어막;
name-status-transformation-dmgtograv;;$damage$ to $grav+short$;$damage$转化为$grav+short$;$damage$から$grav+short$へ;$damage$에서 $grav+short$;
name-status-transformation-gravtodmg;;$grav+short$ to $damage$;$grav+short$转化为$damage$;$grav+short$から$damage$へ;$grav+short$에서 $damage$;
name-status-transformation-gravtomight;;$grav+$ to $might$;$grav+$转化为$might$;$grav+$から$might$へ;$grav+$에서 $might$;
name-status-vulnerable;;Vulnerable;被虚弱;弱点;취약;
offense;;Offense;进攻;オフェンス;공격;
prologue-1;;The year is 3000 and something.;公元3000左右。;西暦3000年とか。;3000 몇 년 가량의 일입니다.;
prologue-2;;The world ...;整个世界……;この世界……;세계는...;
prologue-2b;;well ...;砰;うーん……;음...;
prologue-3;;let's say it's gotten$br$pretty much destroyed.;可以说是$br$几乎变成了一片废墟。;それは基本的に破壊$br$されたとしましょう。;세계가 꽤$br$파괴된 상태라고 가정해보죠.;
prologue-4;;The few survivors of the $b$Gravistrophe$/b$$br$live in scattered campsites$br$off gravitonic energy spikes.;$b$引力扭转$/b$后的少数幸存者$br$纷纷避开引力高峰区$br$四处安营扎寨。;$b$重力の大惨事$/b$ の後、$br$いくつかの生存者は、重力エネルギーのスパイクから小さなキャンプに住んでいます。;$b$중력 재앙$/b$에서 살아남은 소수의 생존자들은$br$중력 에너지 폭주와 멀찍이 떨어진 야영지에$br$뿔뿔이 흩어져 살고 있습니다.;
quitscreen-description;;If you enjoyed the demo, please consider $b$joining Discord$/b$ or $b$wishlisting Rogue Voltage$/b$ to keep in touch about the progress of development on our path to Early Access.;如果您喜欢我们的试玩版，欢迎$b$加入我们的Discord$/b$或者$b$将《能量游侠》$/b$添加至愿望单，第一时间了解抢先体验版本的开发进度。;このデモをお楽しみいただけましたら、$b$Discordに参加$/b$するか、$b$Rogue Voltageをウィッシュリストに登録$/b$して、アーリーアクセスへの道のりでの開発の進捗状況についてお知らせください。;데모를 즐겨주셨다면, $b$디스코드에 참여$/b$하시거나 $b$로그 볼티지를 찜$/b$해서 얼리 액세스까지의 개발 진행 상황을 지속적으로 확인해주시면 감사하겠습니다.;
quitscreen-developer;;$b$Luca$/b$$br$Developer;$b$Luca$/b$$br$开发者;$b$ルカ$/b$$br$開発者;개발자$br$$b$Luca$/b$;
quitscreen-header;;Thank you for playing;感谢体验;遊んでくれてありがとう;플레이해주셔서 감사합니다;
quitscreen-justquit;;QUIT;退出;終了;나가기;
quitscreen-quittodiscord;;QUIT AND JOIN DISCORD;退出并加入Discord;終了して「DISCORD」へ;나가고 디스코드 참여하기;
quitscreen-quittowishlist;;QUIT TO STEAM WISHLIST;退出至Steam愿望单;終了してウィッシュリストに移動;나가서 스팀 찜하기;
quote-playercharacter-kimmy;;Hand me the grav piston ... and a sugar shake, while you're at it!;把引力活塞递给我……顺便再给我做一杯奶昔！;グラブ ピストンを渡してください...そしてシュガー シェイクを手に入れてください!;중력 피스톤이랑...설탕 셰이크 주세요. 다른 거 가져오는 김에!;
quote-playercharacter-slopperjackson;;I will be the quickest delivery boy in the perimeter!;我会成为这里最快的送货员！;私は周辺で最も速い配達員になります！;경계 지대에서 가장 빠른 배달부가 되겠어!;
quote-playercharacter-slopperjohnson;;I just can't wait until this hassle blows over!;快让这些麻烦事结束吧！;私はこの騒ぎが終わるのを待ちきれない！;이 혼란이 끝날 때까지 기다릴 순 없어!;
scope-demo;;Steam Demo;Steam试玩版本;Steam デモ;스팀 데모;
scope-earlyaccess;;Early Access Prototype;抢先体验;アーリーアクセス プロトタイプ;얼리 액세스 프로토타입;
scope-extendeddemo;;Extended Demo;扩展版试玩;拡張デモ;데모 확장판;
scope-notpartofdemo;;Not part of demo;不包含在试玩内;デモの一部ではありません;데모 아님;
scope-playtest;;Playtest;测试;プレイテスト;플레이테스트;
scope-prototype;;Prototype;雏形;プロトタイプ;프로토타입;
scope-version;;v. $VERSION$;版本$VERSION$;v. $VERSION$;v. $VERSION$;
selectionscreen-calltoaction;;Who is heading out?;谁要出发？;誰が出発しますか？;누가 나갈까요?;
selectionscreen-characters;;CHARACTERS;角色;キャラクター;캐릭터;
selectionscreen-salvagedmodule;;SALVAGED MODULE;保留模块;回収されたモジュール;회수한 모듈;
selectionscreen-subtitle;;Select a squad of$br$two characters;选择两名角色$br$组成小队;2人のキャラクターでチームを選択;두 캐릭터로$br$팀을 구성하세요;
shortname-boss-crab;;Boss;首领;ボス;우두머리;
shortname-boss-crab-leftclaw;;Claw;爪击;爪;집게발;
shortname-boss-crab-rightclaw;;Claw;爪击;爪;집게발;
shortname-boss-crocodile;;Boss;首领;ボス;우두머리;
shortname-boss-shroom;;Boss;首领;ボス;우두머리;
shortname-enemy-chronocatnegative;;Chronocat;时光猫;クロノキャット;시간냥이;
shortname-enemy-chronocatpositive;;Chronocat;时光猫;クロノキャット;시간냥이;
shortname-enemy-crow;;Crow;乌鸦;カラス;까마귀;
shortname-enemy-crustyant;;Ant;蚂蚁;蟻;개미;
shortname-enemy-fox;;Fox;狐狸;狐;여우;
shortname-enemy-frog;;Gorf;咕噜;カエル;고프;
shortname-enemy-gravanemone;;Anemone;海葵;海葵;아네모네;
shortname-enemy-gravcobra;;Cobra;眼镜蛇;コブラ;코브라;
shortname-enemy-gravgnat;;Gnat;蚊蚋;蚋;모기;
shortname-enemy-gravpolyp;;Polyp;水螅;ポリープ;용종;
shortname-enemy-mushroomblue;;Shroom;菇;キノコ;버섯;
shortname-enemy-mushroomred;;Shroom;菇;キノコ;버섯;
shortname-enemy-mushroomyellow;;Shroom;菇;キノコ;버섯;
shortname-enemy-protozoon;;Protozoan;单细胞虫;原生動物;기생충;
shortname-enemy-slime;;Ooze;软泥怪;スライム;점액괴물;
shortname-enemy-turretbomb;;Thrower;投手;ランチャー;투척기;
shortname-enemy-wardcrust;;Crystal;水晶;結晶;크리스탈;
shortname-enemy-wardgrav;;Pylon;塔架;鉄塔;철탑;
shortname-module-timebomb;;Bomb;炸弹;爆弾;폭탄;
shortname-naturaldisaster-gravequilibrium;;Equilibrium;均衡;均衡;평형;
shortname-naturaldisaster-gravimpulse;;Impulse;脉冲;衝撃;충격;
shortname-naturaldisaster-lightningstrike;;Lightning;闪电;雷;번개;
shortname-naturaldisaster-storm;;Storm;风暴;嵐;폭풍;
shortname-playercharacter-kimmy;;Kimmy;吉米;キミー;키미;
shortname-playercharacter-slopperjackson;;Jackson;杰克逊;ジャクソン;잭슨;
shortname-playercharacter-slopperjohnson;;Johnson;约翰逊;ジョンソン;존슨;
shortname-status-gravamplification;;Grav. Amp.;引力增强;重力増幅;중력 증폭;
